lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
88.375,15.125,Central BoB,31,20.0,0.008683237365924246,0.3333333333333333,True,28,-0.03460526315789466,0.566685952792318,-0.07936507936507936,False
88.375,19.625,Northern BoB,31,20.0,0.0006603824576976169,0.432258064516129,True,28,0.04262681159420302,0.050477473834512177,0.26455026455026454,False
88.375,20.375,Northern BoB,31,21.666666666666664,0.0007966654651783145,0.4258064516129032,True,29,0.014344965675057237,0.6391042707127212,0.06403940886699508,False
88.375,21.125,Northern BoB,31,15.0,0.0009140134898812935,0.421505376344086,True,30,0.02043859649122804,0.41182433473249125,0.10804597701149425,False
88.375,21.375,Northern BoB,31,14.444444444444445,0.005256036974224942,0.3548387096774194,True,30,-0.020266666666666745,0.568058623631595,-0.07586206896551724,False
88.625,10.375,Central BoB,31,12.5,0.0009996589880756357,0.4172043010752688,True,28,-0.008697478991596588,0.874391387978976,-0.023809523809523808,False
88.625,14.125,Central BoB,31,21.25,0.002134079428441682,0.38924731182795697,True,28,-0.026666666666666568,0.5800644801503809,-0.07671957671957672,False
88.625,17.375,Northern BoB,31,15.333333333333334,0.025513917970253486,0.2838709677419355,True,26,0.05266666666666604,0.12285296541157709,0.21846153846153846,False
88.875,16.625,Northern BoB,31,20.833333333333336,0.002858398123632311,0.37849462365591396,True,28,-0.03881944444444442,0.3739797679546921,-0.12169312169312169,False
88.875,21.375,Northern BoB,31,15.555555555555555,0.0027407597228608083,0.38064516129032255,True,28,0.011807568438003246,0.5937387052742729,0.07407407407407407,False
89.125,7.875,Southern BoB,31,17.391304347826086,0.004577352132731249,0.35913978494623655,True,25,-0.033257653061224496,0.18311229220036362,-0.19333333333333333,False
89.125,9.375,Southern BoB,31,16.428571428571427,0.0004059573376475889,0.44731182795698926,True,25,-0.007921218487395005,0.8335157043083457,-0.03333333333333333,False
89.125,17.875,Northern BoB,31,26.0,0.0010202143142463704,0.4150537634408602,True,24,0.03147676282051286,0.33335824348826115,0.14492753623188406,False
89.125,19.125,Northern BoB,31,22.22222222222222,0.002727783265396022,0.38064516129032255,True,26,-0.009153439153439184,0.7243397423849234,-0.052307692307692305,False
89.125,20.375,Northern BoB,31,20.0,0.0007530163763900255,0.42795698924731185,True,28,0.041439560439560374,0.10515692998739334,0.21957671957671956,False
89.125,20.875,Northern BoB,31,18.421052631578945,0.0015233472923967817,0.4021505376344086,True,27,0.00453703703703703,0.8675468701977536,0.02564102564102564,False
89.375,5.375,Southern BoB,31,14.8,0.0001091772324877116,0.4881720430107527,True,23,0.01731428571428566,0.7513001501987964,0.05138339920948617,False
89.375,17.625,Northern BoB,31,17.61904761904762,0.019903506650288172,0.2946236559139785,True,24,0.03364630467571646,0.18863315303694828,0.1956521739130435,False
89.375,19.625,Northern BoB,31,17.5,0.004950567032519171,0.35698924731182796,True,26,0.014333333333333384,0.4536084832864735,0.1076923076923077,False
89.375,21.375,Northern BoB,31,14.444444444444445,0.0027459607962170285,0.38064516129032255,True,30,0.0011111111111111532,1.0,0.0022988505747126436,False
89.625,11.625,Central BoB,31,17.5,0.0007397654485299388,0.42795698924731185,True,26,-0.044761904761904746,0.09390326367306256,-0.23692307692307693,False
89.875,20.375,Northern BoB,31,16.25,0.0003308360069855798,0.4559139784946237,True,29,0.030955168020385483,0.3482093920776723,0.12561576354679804,False
89.875,20.875,Northern BoB,31,17.142857142857142,0.0002909766259815427,0.46021505376344085,True,28,0.0020700280112045427,0.9527374072913992,0.010582010582010581,False
90.125,10.375,Central BoB,31,17.40740740740741,0.0013221182675142717,0.4064516129032258,True,24,0.0035393772893773236,0.9012978441563575,0.021739130434782608,False
90.125,14.625,Central BoB,31,23.80952380952381,0.0037582124032398134,0.36774193548387096,True,27,-0.058044871794871764,0.26027849278171566,-0.15669515669515668,False
90.125,15.375,Central BoB,31,17.5,0.0015592010137541745,0.4,True,27,-0.014071428571428624,0.7387187313672434,-0.04843304843304843,False
90.125,19.125,Northern BoB,31,20.370370370370374,0.0012074203165441943,0.410752688172043,True,28,0.06323504273504281,0.12324151394625105,0.20899470899470898,False
90.125,21.625,Northern BoB,31,14.285714285714286,0.0012920051845266567,0.40860215053763443,True,29,0.010554334554334611,0.6661517985372294,0.059113300492610835,False
90.375,13.375,Central BoB,31,22.5,0.0009954873607058712,0.4129032258064516,True,22,0.04849358974358974,0.02076499853542102,0.3593073593073593,True
